probe	t-statistics
cg01453814	-25.2023458963051
cg01458105	-15.5883579826909
cg01458228	-17.8404815240478
cg01458504	-17.2780960253475
cg01460436	-17.9777897746154
cg01463153	-15.8194819305011
cg01464835	-15.2002278397475
cg01466017	-20.5007015212856
cg01468621	-15.755076628417
cg01472113	-20.4385903748851
cg01480393	-21.7563377589803
cg01484487	-14.85920289568
cg01484915	-19.4813495934
cg01488770	-13.0520227436754
cg01499217	-17.2259967019795
cg01501819	-11.8550000981422
cg01503348	-12.1364777224612
cg01505590	-16.3002611300079
cg01509237	-12.8067372305933
cg01517185	-23.2168878702634
cg01517740	-11.6953570153033
cg01522430	-16.9237391559095
cg01527459	-16.2698017715634
cg01532168	-13.1821574954472
cg01544903	-10.6741565726514
cg01552918	-23.0160101668705
cg01558212	-16.1287586907486
cg01558960	-14.3385560704863
cg01563465	-10.3706477895724
cg01564322	-12.2723439867924
cg01566555	-18.6477454476208
cg01569082	14.2747249634325
cg01578017	-11.8335243816359
cg01582396	-24.9033377673544
cg01586609	14.5442483339132
cg01593190	-15.0400905197519
cg01604322	-16.0679851526913
cg01614020	-14.7805938639305
cg01614643	14.1957283164653
cg01619562	-20.5147676289103
cg01619929	-11.7596949808837
cg01622344	-19.1311778433644
cg01629716	-13.0031195442817
cg01631764	-11.7590217705244
cg01637551	-14.3547248040451
cg01642521	-12.1193759769299
cg01653942	-17.6183230900224
cg01655831	-14.4778640962634
cg01662117	-18.5665946161213
cg01663725	-15.9534066839789
cg01667319	-15.9160103269042
cg01692340	-17.233708585512
cg01693063	-14.1332414740546
cg01695225	-14.6761706252299
cg01697719	-17.890313443983
cg01699217	-22.8194860888974
cg01702009	-19.2971856813968
cg01705052	-18.432662891732
cg01706943	19.371971470403
cg01713272	-17.4792218239235
cg01717150	-16.9643478978149
cg01736784	-14.8761057699015
cg01741836	-19.9141060710563
cg01755541	-13.549274822538
cg01761662	-18.5788819737528
cg01767544	-19.6635283692191
cg01781850	-19.2180758695644
cg01782371	-18.5388853571461
cg01796166	-12.5393204383455
cg01800345	-13.0712669067034
cg01810713	-23.1799482643657
cg01816726	-18.4581303103074
cg01817965	-13.1608949507834
cg01821058	-13.415004589938
cg01826574	-10.3104954415352
cg01831771	-18.4893532166817
cg01832549	-17.1727703892146
cg01850449	-16.1003196491427
cg01851088	-14.7884159973101
cg01854676	-25.0292425496661
cg01869243	-18.5441521279358
cg01869826	-21.1008369724621
cg01874152	-22.8957264832338
cg01879591	-19.3478194368797
cg01879723	-13.860326368631
cg01886556	-16.8771744695137
cg01886957	-18.215466076173
cg01889143	-12.4156770063813
cg01896761	-14.869753936105
cg01907584	-17.7891778406434
cg01926051	-16.5886518220413
cg01934626	-24.6174948778737
cg01939274	-16.7818054339274
cg01945562	-17.1912158451995
cg01949993	-11.9972552408408
cg01950845	-17.0296951986775
cg01952234	-20.1960724305615
cg01953317	-26.7677131886101
cg01957732	-11.3791960872598
cg01959562	-9.08138696321889
cg01961881	-19.9935001696951
cg01966465	-17.72616247719
cg01968242	-15.9403100249341
cg01970904	-23.1521794503183
cg01973483	-22.1399212843426
cg01974091	-12.7263490480862
cg01985390	-12.9520553290614
cg01991861	-20.9002091567325
cg02006142	-18.0447567880971
cg02014733	-17.4700545406299
cg02015876	-14.1162537677497
cg02017282	-17.4237500776645
cg02020945	-15.3066712827959
cg02026449	-16.4163810711446
cg02027945	-10.7647837432866
cg02030008	-18.7755395684785
cg02033258	-18.9360052316197
cg02036943	-16.7727233740486
cg02044219	-17.5868348859028
cg02045259	-19.8993763266859
cg02054776	-13.7205663591741
cg02058918	-21.2622470558
cg02059214	-17.3700820225353
cg02067846	-19.7777974835038
cg02070685	-13.3943600774022
cg02071076	-15.4931941263649
cg02072515	-23.7292615184432
cg02079377	-30.0922692702677
cg02080909	13.323249123455
cg02090762	-16.1309870822654
cg02094232	-20.0344116306799
cg02094500	17.6816544684499
cg02108033	-11.0604842276571
cg02111748	-11.2683179915759
cg02120774	-13.0723080703716
cg02122920	-18.8188920401988
cg02124514	-13.5957149967968
cg02125316	-14.0577817837195
cg02126117	-15.2870671163334
cg02129962	-20.7468123500234
cg02131049	-19.7245152723237
cg02138264	-16.0169272344094
cg02141543	-20.289997216384
cg02145701	-25.7713727747321
cg02145932	-12.476818040379
cg02146383	-14.9767199553463
cg02146929	-14.5176851459117
cg02147695	-15.9108647678558
cg02150910	-14.7329638637259
cg02152120	-14.1594760773721
cg02155111	-24.5541896392635
cg02155658	-15.4887360748844
cg02157467	-14.9526018528662
cg02160062	-13.3673864334692
cg02166450	-14.9100525820821
cg02167837	-23.6189616090514
cg02168857	-12.6987979475117
cg02172058	-20.508055141579
cg02185402	-18.7762919189279
cg02191312	-22.1846889378798
cg02192967	-12.5173050624547
cg02196294	-15.4108338050814
cg02198513	-17.9431165567063
cg02213103	-9.55219286799803
cg02214745	-15.444288540034
cg02215115	-11.8236183622109
cg02220284	-15.3560817448337
cg02225786	-19.908539577236
cg02228185	14.3474142781084
cg02237470	-20.4415083035295
cg02241055	-17.3845792358106
cg02243276	-15.3583503119871
cg02243785	-12.0095849039905
cg02256049	-13.3405767296166
cg02257708	-23.0498883659302
cg02262187	-14.8794715491151
cg02268510	-22.6259811361557
cg02288754	-15.7861039278756
cg02302089	-20.5816488958298
cg02304156	-16.6535177001936
cg02322989	-16.9260558971371
cg02334314	-18.3197505811251
cg02337349	-13.1374115352631
cg02338345	-18.5725772001912
cg02340083	-15.1880816350196
cg02340541	-11.3776761207299
cg02341571	-26.9849186061471
cg02349468	18.5901083601241
cg02353165	-18.3094897240897
cg02353184	-17.7118521594373
cg02367660	-16.443223013514
cg02372037	-22.6309000272677
cg02379856	-22.6021231894469
cg02381279	-19.0265054525167
cg02382878	16.5080246311354
cg02383666	-27.2681348526269
cg02385820	-23.0329099008106
cg02390319	-13.209374935661
cg02391509	-9.60594861659441
cg02393092	-22.5494054123197
cg02396496	-20.8256522712223
cg02397727	-14.2184286866701
cg02400725	-33.361955926845
cg02409815	-14.1442615758303
cg02422426	-19.2590205514071
cg02434443	-18.6843445139127
cg02435495	-13.5870069567048
cg02440668	-16.8660859467662
cg02441765	-16.183249048083
cg02444987	-12.4545446706527
cg02446106	-12.6187361914378
cg02450613	-16.0943242794762
cg02453462	-11.89849900946
cg02455383	-22.0197130813224
cg02458929	-17.0321878587905
cg02460251	-13.7539520238682
cg02461727	-16.9900932859958
cg02465374	-20.9428735267396
cg02466918	-19.8754474598803
cg02470043	-19.9355351322718
cg02471897	-13.6741865331713
cg02476744	-21.0990782292095
cg02480602	-25.545671754529
cg02481923	-26.780320516229
cg02482218	-14.6786233447044
cg02487130	-15.5950949363032
cg02487629	-18.775810138866
cg02490516	-15.8105813804597
cg02490736	-15.8157551721539
cg02496728	-16.5593748368855
cg02505871	-17.1320158037721
cg02509058	-11.527985121884
cg02511231	-17.0915020971706
cg02519037	-12.1537606308519
cg02522485	-23.0993870164196
cg02523844	-12.0944111436472
cg02539855	-24.3145973463336
cg02560967	-15.3023128016638
cg02565715	-18.5710160843959
cg02570079	-17.470329599409
cg02570644	-20.7435719261845
cg02576219	-17.0551138266422
cg02582387	-13.9807676344073
cg02583796	-11.5670941173027
cg02584459	-28.4312439632289
cg02585724	-22.5079422682974
cg02597894	-14.2732020723803
cg02602541	-19.1181282963677
cg02605292	-18.9372917756902
cg02607340	-13.5572934901123
cg02610058	-19.6441800914531
cg02613295	-19.2601580293145
cg02613803	-16.1183204130262
cg02622052	-14.2908946078704
cg02624905	-15.4132167917352
cg02630207	-18.1687468203031
cg02637318	-12.731038055543
cg02641917	-26.823966500683
cg02642565	-23.7226179026716
cg02650317	-22.553894280355
cg02658437	-16.6401049364493
cg02658488	-17.6270883541289
cg02674693	-12.7258350471063
cg02678768	10.8814580387761
cg02680979	-10.8410371511503
cg02694810	-12.5776561764937
cg02695467	-15.6998654660427
cg02700491	-22.6811116059942
cg02700894	-10.2211874195598
cg02712224	-13.4156957924079
cg02731293	-14.3179047808289
cg02736255	-20.0679509695079
cg02736505	-13.738232303779
cg02739500	-15.7625603835595
cg02742775	-12.8060601613143
cg02743650	-13.990612806586
cg02751693	-20.769900475944
cg02752882	-11.5766777096901
cg02753029	-14.1334007660557
cg02759110	-17.1618339899481
cg02763536	-15.0949328396508
cg02763800	-12.412724175222
cg02764478	-11.6587709915112
cg02767613	-16.1079510462484
cg02767771	-26.3177723492664
cg02767960	-16.5898693100051
cg02771336	-20.7262616343014
cg02774186	-14.0996440195718
cg02776659	-15.3298123452243
cg02781060	-18.3136455516365
cg02787120	-22.3709900634546
cg02788400	-13.6763282920981
cg02792792	-15.8397801300972
cg02795014	16.2266795106908
cg02798576	-11.3262847546871
cg02806452	-19.8701946731173
cg02810291	-10.1783939590347
cg02813710	-20.411284847337
cg02816816	-14.8725633749751
cg02826439	-14.0213447074029
cg02830749	-17.3138065510633
cg02830936	-15.3300337479893
cg02836541	-16.9362500823122
cg02855207	-20.7105701431091
cg02855633	-14.2097194010839
cg02859042	-26.9785244030969
cg02860282	-14.3096500270724
cg02864954	-18.4140107255275
cg02869459	-15.4374415007887
cg02881274	-12.4073571400486
cg02881570	-16.8455350569356
cg02882381	-21.4182356375376
cg02882448	-11.9902736258957
cg02884775	-14.0785651818185
cg02886033	-11.1572880691212
cg02886284	-18.1053437336736
cg02889973	-20.196623674499
cg02907374	-10.3006411385188
cg02909136	-12.0983257879639
cg02924562	-17.6817299639132
cg02925162	-16.4812769338981
cg02936679	13.0328618274984
cg02948476	-15.3692572611895
cg02951237	-11.9552134961016
cg02956699	-14.713285014742
cg02957576	-18.1213510102443
cg02959816	-21.905938941434
cg02961472	-21.3119785637109
cg02961707	-13.9765992456516
cg02961934	14.0237179678454
cg02974320	-13.64395343914
cg02976568	-16.5111552020848
cg02976898	-19.7476712619187
cg02978184	-13.6381012790314
cg02984614	-14.6794065137222
cg03002688	-19.0893430324196
cg03023089	-11.2788344772837
cg03024372	-13.1935540847991
cg03024619	-13.3261660101964
cg03027354	-17.5435145133749
cg03040554	-12.2871042599484
cg03041602	-17.1817233281463
cg03043296	-20.7580395371047
cg03048654	-12.6615271138195
cg03050508	-17.4387409458857
cg03053893	-20.3774364171895
cg03061682	-16.6575940455792
cg03065308	-18.2374904232567
cg03072984	-18.3536127051496
cg03084808	-20.0172084920307
cg03092191	-15.4466973429531
cg03101849	-20.0901979430896
cg03103770	-18.2088481498617
cg03106245	-24.83935490981
cg03112087	-12.4394362751523
cg03113038	16.1880037106627
cg03132773	-12.7951345932822
cg03133868	-11.3199271776966
cg03140289	-26.2308603071122
cg03148562	15.8497683218803
cg03148658	-11.0825974125252
cg03151187	-12.3459335041815
cg03152033	-13.1600191614217
cg03159124	-15.7910266476734
cg03164275	-10.7183247359252
cg03172651	-10.8716723249164
cg03192598	-12.1677687880913
cg03196440	-14.4911657463282
cg03198578	-13.2625098293392
cg03203223	-16.5641200733709
cg03224209	-18.27256990038
cg03225210	-17.0948357677227
cg03225817	-11.1855686526265
cg03228132	-18.9266182425142
cg03232620	-16.8592359633036
cg03245632	-18.0728433542669
cg03252986	-13.029111466994
cg03254137	-22.8647678700062
cg03263618	-15.6513314412981
cg03267342	-15.4722076681381
cg03274669	13.3252378809464
cg03278146	-11.1161567027051
cg03282991	-23.991300200148
cg03286235	-13.327578213222
cg03293015	-11.574768760075
cg03297901	-27.2923259132638
cg03304380	-13.8521966028955
cg03307401	-11.9164015841276
cg03310469	-15.9211008388552
cg03314029	-17.6780360150193
cg03314365	-18.5607981122306
cg03315869	-21.8148843748663
cg03321553	-19.3823462951666
cg03330022	-13.2675817793345
cg03330490	-20.6825783233763
cg03335128	-25.7152500513872
cg03345037	-12.7343041045334
cg03349922	-20.4926652252838
cg03351460	-11.0140348204232
cg03357721	-24.5774352038938
cg03358769	-13.9251938571013
cg03378876	-15.4359549192225
cg03384825	-14.8902158727322
cg03396005	-13.567722500771
cg03402876	-17.2647296502942
cg03403065	-14.9540665932987
cg03406367	-14.9184174473611
cg03406535	-18.8879799678092
cg03414318	-14.6966862354751
cg03419885	-16.7237399096038
cg03423112	-16.8710186118361
cg03424342	-13.9597841592432
cg03468349	-21.5440309938841
cg03477049	-17.2028217945013
cg03477240	-12.7559651859937
cg03479694	-11.2410539475769
cg03485217	-20.0482281431699
cg03489969	-22.2182606651831
cg03492495	-12.0352765311022
cg03493668	-15.5822015329231
cg03495768	-16.6080489245296
cg03503087	-12.6704488291887
cg03509412	-13.3776501640243
cg03515878	-17.9477811266899
cg03522063	-11.6489271961999
cg03522245	-16.0922980014927
cg03536375	-13.2621237729157
cg03539765	-10.5550288134249
cg03542891	-13.5411358254715
cg03553786	27.1081126607949
cg03563667	-13.9551380156407
cg03577655	-14.3747455536298
cg03586564	-21.3722861017008
cg03587843	-18.1766924331701
cg03595100	-19.7710326197085
cg03596479	-22.7660107955617
cg03597976	-18.9617872032485
cg03604364	18.7762237633466
cg03615933	-17.1509536741883
cg03616221	-10.2516604324871
cg03625177	-16.2687110863556
cg03625261	-13.6738843935289
cg03625292	-25.1126184000452
cg03628682	-12.847916495047
cg03631755	-23.9957072549327
cg03638172	-19.3359704954294
cg03654472	-16.6964606476482
cg03657573	-16.399038188498
cg03660115	-13.603028388279
cg03663215	-15.0505474384106
cg03663462	-13.9012774343144
cg03669282	-19.4915323858235
cg03671802	-11.8724678618178
cg03674127	-14.7356761280352
cg03677003	-17.2842228224305
cg03679565	-14.3744692044159
cg03682366	-10.7638065116739
cg03686593	-9.59393718668845
cg03689324	-17.6920865884366
cg03694713	-13.3031090067414
cg03696345	-17.1870185148921
cg03696628	-16.5601246137349
cg03701930	-7.30959857979831
cg03703637	-18.2359073515112
cg03709091	-12.1543593745686
cg03714573	-13.5562246113955
cg03717555	-13.9819904270063
cg03717570	-23.0103933468679
cg03720745	-15.6168825294201
cg03721362	-15.2603579520851
cg03730958	-14.2585895769752
cg03732762	-18.0500576845171
cg03733229	-20.4973955039707
cg03734437	-11.3006193686838
cg03735012	-19.687832484435
cg03735496	-12.9268504837061
cg03735888	-21.05510449334
cg03736057	-15.8686843153478
cg03741348	-24.6120607469205
cg03745002	-15.0591135044854
cg03763874	-20.1486160739323
cg03769055	13.3879543970082
cg03774803	-12.1951474210426
cg03776082	-21.9453912990431
cg03777459	-11.3536578502118
cg03778029	-17.7199444776478
cg03791005	-10.8970603081757
cg03801179	-22.5038150158224
cg03802461	-18.5101476388625
cg03804213	-14.8874387153596
cg03805566	-20.8477243941782
cg03806095	-17.6109340613323
cg03817939	-15.5879241955333
cg03823904	-10.3244817290209
cg03834767	-16.9338193540702
cg03840073	-17.9558735300557
cg03867465	-12.2604056503257
cg03867475	-19.3569399547678
cg03874653	12.7910059339116
cg03888033	-12.6473327124821
cg03896836	-18.5206672599167
cg03905758	-14.6521810623592
cg03908015	-13.434204745217
cg03932398	-9.89963485184411
cg03932723	-15.4049754799408
cg03936104	-18.0247572804298
cg03939688	-14.3986326053655
cg03943839	-14.5586484901208
cg03950655	-21.2688314774287
cg03952331	-19.7509774045612
cg03958308	-20.4661824560968
cg03960951	-12.9143505736631
cg03965044	-18.1119575106525
cg03969651	-19.4479335937348
cg03970483	-19.5522738169174
cg03976877	-12.5719745619829
cg03994053	-24.0245045472844
cg03999372	-19.2305068147954
cg04003850	-15.833687382541
cg04006323	-12.3205911017856
cg04013093	-18.1743052024352
cg04014576	-12.5702526677677
cg04016086	-14.0846614030727
cg04018288	-13.0222012190454
cg04018738	-9.84822750465386
cg04023369	-16.0928619424484
cg04023483	-11.9226118425607
cg04023936	-26.8525845972841
cg04025074	-12.7961236103614
cg04029421	-12.4061999393238
cg04030615	-15.328557588926
cg04032226	-18.529138517286
cg04038246	-19.425500820358
cg04043591	-13.7065949495907
cg04052466	-13.5001354070734
cg04055693	-18.580272711218
cg04062510	-11.636735217841
cg04063945	-14.2422583050778
cg04068042	-11.838933164087
cg04071104	-13.8224633788362
cg04093932	-13.8152928722791
cg04094811	-19.2327257927449
cg04103418	-14.7416571772677
cg04106647	-16.7330469024253
cg04115680	-10.4117789179549
cg04117435	-13.000539095782
cg04123776	-14.5004572413267
cg04132379	-20.0441975005718
cg04140834	-8.8587838904273
cg04148584	-12.2932596616092
cg04150055	-10.5613375795931
cg04160201	-14.9444385800481
cg04174211	-13.7876483207353
cg04179625	-19.1677899211735
cg04195125	-23.9148873047969
cg04204831	-19.4043298295693
cg04210284	-24.0878188597629
cg04212729	-16.4799905693368
cg04213522	-12.1835361573041
cg04222582	-12.1558934359318
cg04242821	-19.4012179716695
cg04245645	-19.4232919546532
cg04251363	-13.6510346125649
cg04252203	-18.6539346618571
cg04252938	-18.1475861721896
cg04261408	-11.7540893376161
cg04264299	-20.5109043192579
cg04266607	-22.4648198861284
cg04275404	-13.3629102143784
cg04276302	-20.7969433083918
cg04276484	12.5945716808938
cg04281464	-13.8606513860081
cg04285130	-17.6949742638912
cg04292718	-16.8476891610148
cg04294677	-10.9848047234392
cg04294888	-11.6824661800394
cg04307561	-20.5854417012523
cg04308797	-20.7510946093799
cg04314247	-22.1114277821619
cg04315214	-18.6350675602435
cg04319732	-22.2537255223905
cg04327181	-12.727196946499
cg04330389	18.7324372989033
cg04344565	-18.8408597337814
cg04349243	-13.7084986785827
cg04355093	-21.8368318087802
cg04360334	-14.6944949816027
cg04361551	-17.2895398957043
cg04389426	-16.6344684000648
cg04391135	-18.4397321265919
cg04392320	-12.4575174346974
cg04397652	-22.9900016392135
cg04398282	-22.386626012545
cg04398581	-15.650786068676
cg04399751	-12.7446756810768
cg04402875	-19.1611448490558
cg04406620	-23.0472310031306
cg04408595	-12.2771749558945
cg04412646	-16.7230798507135
cg04413895	-13.7854807242699
cg04448487	-11.857452434793
cg04455058	-13.6911195885169
cg04455164	-10.9634959850354
cg04457196	-13.8568932513173
cg04459504	-17.1756569178388
cg04460984	-16.2238111956103
cg04462378	-19.8939188020345
cg04462627	-17.229499072889
cg04484579	-17.2468223694077
cg04495670	-9.11387866080966
cg04495891	-19.2115541063692
cg04503182	-20.8222138487718
cg04503968	-15.8433883526286
cg04507775	-11.5320830226876
cg04508482	-23.357879828526
cg04508804	-12.3540390706869
cg04515001	-14.7155799794701
cg04516112	-15.593862445715
cg04528477	-12.4404822670463
cg04535966	-19.8361921855094
cg04542433	-23.5501889824702
cg04547675	-13.3383759026775
cg04550737	-13.5733524848388
cg04555220	-17.3559627727174
cg04557665	-18.6196215230769
cg04590366	-22.4792810395268
cg04598517	-14.3925403010657
cg04603730	-25.1102072128928
cg04605617	-16.4509494851086
cg04606210	-17.6576529447506
cg04607400	-13.3317312078089
cg04608146	-21.8697336808857
cg04611479	-19.8472325474785
cg04624413	-19.0368770696612
cg04638468	-14.0786296132203
cg04640250	-11.9047216679861
cg04643920	-23.0583941994294
cg04653522	-24.7428844019806
cg04663790	-13.8624885153193
cg04664897	-22.135416157572
cg04682580	-23.0410106387022
cg04697148	-12.1846079435282
cg04700283	-17.5741970264565
cg04701034	-11.2499689103558
cg04706867	-14.897459392999
cg04707519	-8.54525604891243
cg04709035	-9.47562697157703
cg04711162	-14.1749350461381
cg04717699	16.1575312778012
cg04724177	-24.0302092182711
cg04724319	-19.3382131947532
cg04726446	-17.0398260693172
cg04728482	-14.6146572679132
cg04747226	-11.9192457747433
cg04759439	-15.8962983721839
cg04780572	-13.9907817294759
cg04787775	-24.9575511266069
cg04792777	-18.7081133274121
cg04797725	-12.7223192464525
cg04803843	-15.1244127467918
cg04804550	-14.6524835512511
cg04812475	-10.0286619086189
cg04816311	-16.6476860867664
cg04823168	-19.7678499113045
cg04828133	-15.4328296902692
cg04828493	-21.3352714290719
